Time,Mx,My,Mz,Vx,Vy,Vz
1758119055.961543,134.93699999999998,104.826,159.07700000000003,16,20,20
1758119059.0464277,129.294,-168.466,-177.246,17,-20,-20
1758119062.1174939,129.17900000000003,-168.40699999999998,-168.36,17,-20,-19
1758119065.1831975,129.39299999999997,-168.067,-159.94599999999997,17,-20,-18
1758119068.2551708,129.406,-167.656,-151.32,17,-20,-17
1758119071.3233747,129.542,-167.19699999999997,-142.27300000000002,17,-20,-16
1758119074.3941631,129.451,-167.15699999999998,-134.099,17,-20,-15
1758119077.4646137,129.60500000000002,-165.975,-125.446,17,-20,-14
1758119080.5482838,129.78400000000002,-165.975,-117.39700000000002,17,-20,-13
1758119083.6155128,129.467,-165.36200000000002,-108.89499999999998,17,-20,-12
1758119086.6893346,129.659,-165.45800000000003,-100.285,17,-20,-11
1758119089.7555213,129.811,-166.87999999999997,-91.775,17,-20,-10
1758119092.8271172,129.79000000000002,-166.55799999999996,-83.46,17,-20,-9
1758119095.8959842,129.981,-166.183,-74.25,17,-20,-8
1758119098.9648144,129.954,-165.582,-65.755,17,-20,-7
1758119102.0335727,130.038,-165.315,-57.431000000000004,17,-20,-6
1758119105.1017122,129.973,-165.20300000000003,-48.491,17,-20,-5
1758119108.1856658,130.043,-165.106,-40.143,17,-20,-4
1758119111.2471657,130.32800000000003,-164.464,-31.393,17,-20,-3
1758119114.3109076,130.329,-164.45300000000003,-22.600000000000005,17,-20,-2
1758119117.3986301,130.343,-164.31,-14.209999999999999,17,-20,-1
1758119120.46261,130.001,-164.197,-5.411,17,-20,0
1758119123.5301669,129.977,-163.747,0.86,17,-20,1
1758119126.586681,130.548,-163.483,8.553,17,-20,2
1758119129.6727705,130.542,-163.546,15.788,17,-20,3
1758119132.726795,130.27100000000002,-163.109,24.128999999999998,17,-20,4
1758119135.8118062,130.721,-162.776,32.49499999999999,17,-20,5
1758119138.8838131,130.64100000000002,-162.757,40.521,17,-20,6
1758119141.952105,130.575,-162.29199999999997,49.36000000000001,17,-20,7
1758119145.0204525,130.83499999999998,-162.29099999999997,57.373000000000005,17,-20,8
1758119148.090939,130.71599999999998,-162.18800000000002,65.58000000000001,17,-20,9
1758119151.1591103,130.807,-161.70999999999998,74.72999999999999,17,-20,10
1758119154.2284675,130.702,-161.19299999999998,82.684,17,-20,11
1758119157.295432,130.826,-161.38400000000001,90.90700000000001,17,-20,12
1758119160.3615077,131.083,-161.1,99.42500000000001,17,-20,13
1758119163.3436887,131.172,-161.105,107.00900000000001,17,-20,14
1758119166.406265,131.089,-160.591,116.449,17,-20,15
1758119169.488941,131.092,-160.44,124.49600000000001,17,-20,16
1758119172.560417,130.83700000000005,-160.31,133.162,17,-20,17
1758119175.628751,131.21500000000003,-159.902,142.03699999999998,17,-20,18
1758119178.697427,131.35,-159.55400000000003,149.39499999999998,17,-20,19
1758119181.7673652,131.54799999999997,-159.296,158.185,17,-20,20
1758119184.840643,129.461,-162.647,-176.78400000000002,17,-19,-20
1758119187.905526,129.69799999999998,-162.625,-168.301,17,-19,-19
1758119190.9748003,129.174,-162.496,-160.048,17,-19,-18
1758119194.0583992,129.78400000000002,-161.50300000000001,-150.902,17,-19,-17
1758119197.1307974,129.85700000000003,-161.20999999999998,-142.592,17,-19,-16
1758119200.1991675,130.00300000000001,-160.975,-134.326,17,-19,-15
1758119203.2674,130.01500000000001,-160.76399999999998,-125.614,17,-19,-14
1758119206.3388064,130.038,-160.43,-117.295,17,-19,-13
1758119209.405188,130.262,-160.38400000000001,-108.189,17,-19,-12
1758119212.4764552,130.143,-160.19099999999997,-100.096,17,-19,-11
1758119215.449641,130.471,-159.648,-91.35799999999999,17,-19,-10
1758119218.5163321,130.229,-159.588,-82.73700000000001,17,-19,-9
1758119221.5984204,129.959,-159.13899999999998,-73.773,17,-19,-8
1758119224.666774,130.227,-159.229,-65.8,17,-19,-7
1758119227.7395875,130.436,-158.68400000000003,-57.149,17,-19,-6
1758119230.8085139,130.656,-158.171,-48.438,17,-19,-5
1758119233.8775692,130.638,-158.09199999999998,-40.088,17,-19,-4
1758119236.9496217,130.73000000000002,-157.394,-31.526999999999997,17,-19,-3
1758119240.0149398,130.86499999999998,-156.891,-22.552999999999997,17,-19,-2
1758119243.0843008,130.736,-156.93099999999998,-14.161000000000001,17,-19,-1
1758119246.1565914,130.668,-156.782,-5.522,17,-19,0
1758119249.2248428,130.81,-156.406,-0.20600000000000002,17,-19,1
1758119252.2938976,130.943,-156.28399999999996,7.353,17,-19,2
1758119255.364545,130.75,-156.304,15.472999999999999,17,-19,3
1758119258.4323637,130.73399999999998,-156.172,22.424,17,-19,4
1758119261.5016797,131.265,-155.866,29.771000000000004,17,-19,5
1758119264.5720518,131.09399999999997,-155.377,38.759,17,-19,6
1758119267.6410844,131.017,-155.43,46.995000000000005,17,-19,7
1758119270.7079568,131.038,-155.023,54.96200000000001,17,-19,8
1758119273.7767317,130.897,-154.869,63.32499999999999,17,-19,9
1758119276.8468363,130.98200000000003,-154.56799999999998,71.023,17,-19,10
1758119279.8194437,131.37100000000004,-154.60299999999998,79.691,17,-19,11
1758119282.8855934,131.349,-154.012,88.36999999999999,17,-19,12
1758119285.9687488,131.365,-153.583,96.299,17,-19,13
1758119289.0380874,131.571,-153.565,103.924,17,-19,14
1758119292.1092396,131.428,-153.35200000000003,115.696,17,-19,15
1758119295.1780438,131.167,-152.96099999999998,123.952,17,-19,16
1758119298.2466314,131.283,-152.77599999999998,131.13400000000001,17,-19,17
1758119301.3159778,131.68400000000003,-152.53599999999997,139.67200000000003,17,-19,18
1758119304.3878953,131.62,-152.36200000000002,150.411,17,-19,19
1758119307.4545362,131.364,-151.901,158.578,17,-19,20
1758119310.5396338,129.74300000000002,-155.05,-177.241,17,-18,-20
1758119313.6140332,129.73099999999997,-154.754,-168.25300000000001,17,-18,-19
1758119316.678386,129.928,-154.47700000000003,-160.36699999999996,17,-18,-18
1758119319.7542996,129.868,-154.30100000000002,-151.89100000000002,17,-18,-17
1758119322.8185637,130.10199999999998,-154.195,-143.28299999999996,17,-18,-16
1758119325.9005663,130.12,-153.98000000000002,-134.739,17,-18,-15
1758119328.9729002,130.169,-153.72,-126.45,17,-18,-14
1758119332.040852,129.945,-153.58,-117.61799999999998,17,-18,-13
1758119335.11279,129.84099999999998,-153.582,-108.94300000000001,17,-18,-12
1758119338.1789374,130.033,-153.11299999999997,-100.36000000000001,17,-18,-11
1758119341.2511826,130.115,-152.727,-91.811,17,-18,-10
1758119344.3222466,130.01600000000002,-152.438,-83.27799999999999,17,-18,-9
1758119347.3890698,130.316,-152.319,-74.71200000000002,17,-18,-8
1758119350.4594033,130.562,-152.031,-65.943,17,-18,-7
1758119353.5271623,130.289,-151.99099999999999,-56.86499999999999,17,-18,-6
1758119356.5985308,130.873,-151.71800000000002,-48.489,17,-18,-5
1758119359.6800747,130.571,-151.317,-40.095000000000006,17,-18,-4
1758119362.751481,130.701,-151.223,-32.07000000000001,17,-18,-3
1758119365.8177457,130.558,-151.023,-22.878000000000004,17,-18,-2
1758119368.8891947,130.56400000000002,-150.552,-14.109,17,-18,-1
1758119371.9584153,130.787,-150.548,-5.773000000000001,17,-18,0
1758119375.0297124,130.69400000000002,-149.93800000000002,1.0490000000000002,17,-18,1
1758119378.0846965,130.749,-149.652,9.072,17,-18,2
1758119381.1653812,130.725,-149.73000000000002,16.833000000000002,17,-18,3
1758119384.2370923,130.773,-149.317,24.868000000000002,17,-18,4
1758119387.307541,131.094,-149.20600000000002,32.831,17,-18,5
1758119390.3749213,131.22099999999998,-149.142,41.282,17,-18,6
1758119393.4431632,131.325,-149.017,48.751,17,-18,7
1758119396.5104403,131.225,-148.92100000000002,56.64699999999999,17,-18,8
1758119399.5829628,131.027,-148.58200000000002,63.58399999999999,17,-18,9
1758119402.6496553,131.49199999999996,-148.24499999999998,71.62100000000001,17,-18,10
1758119405.7205615,131.28,-148.089,80.421,17,-18,11
1758119408.7868207,131.37500000000003,-147.48399999999998,89.45400000000001,17,-18,12
1758119411.8628533,131.51999999999998,-147.051,97.781,17,-18,13
1758119414.9309754,131.476,-147.299,106.72900000000001,17,-18,14
1758119418.0142238,131.695,-147.001,115.62100000000001,17,-18,15
1758119421.0762596,131.893,-146.151,125.941,17,-18,16
1758119424.0436642,124.40899999999999,-146.058,133.80599999999998,17,-18,17
1758119427.014236,131.744,-145.85899999999998,142.00600000000003,17,-18,18
1758119429.9930103,126.924,-145.519,150.038,17,-18,19
1758119433.0592575,132.11999999999998,-145.454,160.80799999999996,17,-18,20
1758119436.129043,129.974,-148.839,-176.903,17,-17,-20
1758119439.1983879,130.13700000000003,-148.395,-167.801,17,-17,-19
1758119442.283487,130.159,-148.32,-159.26399999999998,17,-17,-18
1758119445.35049,130.185,-147.819,-150.722,17,-17,-17
1758119448.4202003,130.376,-147.204,-142.284,17,-17,-16
1758119451.4915357,130.368,-147.081,-133.756,17,-17,-15
1758119454.5604277,130.37900000000002,-147.20499999999998,-125.575,17,-17,-14
1758119457.6277492,130.35,-146.955,-117.263,17,-17,-13
1758119460.7029653,130.34100000000004,-146.584,-108.648,17,-17,-12
1758119463.7816696,130.546,-146.49,-100.19200000000001,17,-17,-11
1758119466.8541942,130.741,-145.79199999999997,-91.50800000000001,17,-17,-10
1758119469.9238148,130.663,-145.903,-83.16999999999999,17,-17,-9
1758119472.9942803,130.71099999999998,-145.964,-74.651,17,-17,-8
1758119476.0649476,130.51200000000003,-145.617,-65.25899999999999,17,-17,-7
1758119479.1359022,130.959,-145.274,-56.589,17,-17,-6
1758119482.2002218,130.88799999999998,-144.88400000000001,-48.265,17,-17,-5
1758119485.2715683,130.848,-144.671,-39.689,17,-17,-4
1758119488.3347447,130.957,-144.04899999999998,-30.853,17,-17,-3
1758119491.4076712,130.95100000000002,-144.225,-22.305,17,-17,-2
1758119494.38371,123.748,-143.89399999999998,-13.796000000000001,17,-17,-1
1758119497.44542,131.123,-143.302,-5.35,17,-17,0
1758119500.512207,131.26500000000001,-143.57700000000003,0.6040000000000001,17,-17,1
1758119503.5851061,131.24099999999999,-143.29600000000002,7.379,17,-17,2
1758119506.6502244,131.22099999999998,-143.28,16.455999999999996,17,-17,3
1758119509.7240603,131.53,-143.17299999999997,24.173,17,-17,4
1758119512.7894611,131.22899999999998,-142.59700000000004,32.17999999999999,17,-17,5
1758119515.8608258,131.29899999999998,-142.547,40.31999999999999,17,-17,6
1758119518.930211,131.37499999999997,-142.082,47.657999999999994,17,-17,7
1758119522.0122812,131.333,-141.976,55.32099999999999,17,-17,8
1758119525.0719767,131.31799999999998,-142.00600000000003,63.32399999999999,17,-17,9
1758119528.1395392,131.623,-141.85700000000003,71.73299999999999,17,-17,10
1758119531.2263532,131.56599999999997,-141.48499999999999,80.08500000000001,17,-17,11
1758119534.2936423,131.544,-141.307,89.33600000000001,17,-17,12
1758119537.3548422,131.63299999999998,-140.964,97.24600000000001,17,-17,13
1758119540.4292626,131.546,-140.70600000000002,105.275,17,-17,14
1758119543.501723,131.559,-140.58200000000002,112.978,17,-17,15
