TestSat.UTCModJulian      TestSat.A1ModJulian       TestSat.Earth.Latitude    TestSat.Earth.Longitude   TestSat.Earth.Altitude    
30910.16661203420         30910.16704067288         -17.21793930164750        102.1774454065612         420.6975400290885         
30910.16663347220         30910.16706211088         -17.12648928194886        102.2508987840769         420.6717558069513         
30910.16667228721         30910.16710092589         -16.96082677524242        102.3836912700008         420.6252244271827         
30910.16673849690         30910.16716713557         -16.67799209971067        102.6096178614886         420.5463114562535         
30910.16685134303         30910.16727998171         -16.19522029392873        102.9930110757452         420.4131720195455         
30910.16705992657         30910.16748856524         -15.30059033620314        103.6963420059090         420.1717224327740         
30910.16741092085         30910.16783955953         -13.78893633858743        104.8653315992142         419.7797052494770         
30910.16787490712         30910.16830354580         -11.78000578920648        106.3856980633032         419.2908616675413         
30910.16849507716         30910.16892371584         -9.079058938207261        108.3808393733011         418.6939305406158         
30910.16927532363         30910.16970396230         -5.661605781937326        110.8457355567990         418.0423175316555         
30910.17016310472         30910.17059174339         -1.756922949985437        113.6128881707997         417.4454241659050         
30910.17113894499         30910.17156758367         2.541326182431557         116.6413536257680         416.9756499356954         
30910.17218683445         30910.17261547313         7.146841944540877         119.9198914718989         416.6921918245298         
30910.17324323436         30910.17367187304         11.75940345914299         123.3001580549258         416.6331766395087         
30910.17357791664         30910.17400655532         13.21092066356546         124.3949771085263         416.6598999206972         
30910.17410318534         30910.17453182401         15.47669421306925         126.1429922752193         416.7435472000416         
30910.17475795942         30910.17518659809         18.27596114813710         128.3822247842253         416.9151137980580         
30910.17561508827         30910.17604372694         21.88825977158612         131.4368992578555         417.2418424475118         
30910.17659079197         30910.17701943064         25.90974795345413         135.1253189660056         417.7336229734801         
30910.17764329533         30910.17807193400         30.10974484308612         139.4184419213937         418.3739735520512         
30910.17870069555         30910.17912933423         34.14503361709370         144.1371903195770         419.0914632903077         
30910.17975920488         30910.18018784355         37.94949345390379         149.3543637051472         419.8402022692899         
30910.18052236108         30910.18095099976         40.51255283872467         153.4722001765365         420.3740443988354         
30910.18155065260         30910.18197929128         43.67489428519077         159.5542844675702         421.0538847143016         
30910.18186017401         30910.18228881269         44.55143084701851         161.5133883982195         421.2447116294015         
30910.18218971212         30910.18261835080         45.44201707426437         163.6668898761725         421.4389883452159         
30910.18249191057         30910.18292054924         46.21774703510743         165.7037640209239         421.6081933104770         
30910.18295903907         30910.18338767774         47.33450503877602         168.9693450420159         421.8510362563538         
30910.18355455722         30910.18398319590         48.60165371887916         173.3354533168726         422.1239454608649         
30910.18423817906         30910.18466681773         49.81975769103833         178.6130986495737         422.3806888976687         
30910.18521135351         30910.18563999219         51.07320103275475         -173.4532655117546        422.6305657126659         
30910.18626209139         30910.18669073006         51.73644488159679         -164.5080703561793        422.7352458754895         
30910.18731644526         30910.18774508394         51.64547594370926         -155.4135430131664        422.6607225792786         
30910.18746680553         30910.18789544420         51.57051469064464         -154.1251833674952        422.6354174874823         
30910.18773011313         30910.18815875181         51.40249040578167         -151.8812290743139        422.5823955765864         
30910.18807241433         30910.18850105301         51.11503048099726         -148.9936903098948        422.4970968832895         
